en,fr,it,de,es,ko,kana,pt
Elixirs,Élixirs,Elisir,Elixiere,Elixires,PP에이더,ピーピーエイダー,Elixirs
Max Elixirs,Élixirs Max,Elisir Max,Top-Elixiere,Elixires Máximos,PP맥스,ピーピーマックス,Max Elixirs
Lava Cookies,Lava Cookies,Lavottini,Lavakekse,Galletas Lava,용암전병,フエンせんべい,Lava Cookies
Berry Juices,Jus de Baie,Succodibacca,Beerensäfte,Zumos de Baya,나무열매쥬스,きのみジュース,Berry Juices
Sacred Ashes,Cendres Sacrées,Ceneremagica,Zauberaschen,Cenizas Sagradas,성스러운분말,せいなるはい,Sacred Ashes
HP Ups,PV Plus,PS-Su,KP-Plus,Más PS,맥스업,マックスアップ,HP Ups
Proteins,Protéines,Proteine,Proteine,Proteínas,타우린,タウリン,Proteins
Irons,Fers,Ferro,Eisen,Hierros,사포닌,ブロムヘキシン,Irons
Carbos,Carbones,Carburante,Carbon,Carburantes,알칼로이드,インドメタシン,Carbos
Calciums,Calciums,Calcio,Kalzium,Calcios,리보플라빈,リゾチウム,Calciums
Rare Candies,Super Bonbons,Caramelle rare,Sonderbonbons,Caramelos Raros,이상한사탕,ふしぎなアメ,Rare Candies
PP Ups,PP Plus,PP-Su,AP-Plus,Más PP,포인트업,ポイントアップ,PP Ups
Zincs,Zincs,Zinco,Zink,Zincs,키토산,キトサン,Zincs
PP Maxes,PP Max,PP-Max,AP-Tops,PP Máximos,포인트맥스,ポイントマックス,PP Maxes
Old Gateaux,Vieux Gâteaux,Dolci Gateau,Spezialitäten,Barritas Plus,숲의양갱,もりのヨウカン,Old Gateaux
Guard Specs.,Garde-Stats,Superguardie,Megablocks,Protección X,이펙트가드,エフェクトガード,Guard Specs.
Dire Hits,Muscles +,Supercolpi,Angriffplus,Crítico X,크리티컬커터,クリティカット,Dire Hits
X Attacks,Attaques +,Attacchi X,X-Angriff,Ataque X,플러스파워,プラスパワー,X Attacks
X Defenses,Défenses +,Difese X,X-Verteidigung,Defensa X,디펜드업,ディフェンダー,X Defenses
X Speeds,Vitesses +,Velocità X,X-Initiative,Velocidad X,스피드업,スピーダー,X Speeds
X Accuracies,Précisions +,Precisioni X,X-Genauigkeit,Precisión X,잘-맞히기,ヨクアタール,X Accuracies
X Sp. Atks,Atq. Spé. +,Att. Speciali X,X-Sp.-Ang.,Ataque Especial X,스페셜업,スペシャルアップ,X Sp. Atks
X Sp. Defs,Déf. Spé. +,Dif. Speciali X,X-Sp.-Vert.,Defensa Especial X,스페셜가드,スペシャルガード,X Sp. Defs
Poké Dolls,Poké Poupées,Poké Bambole,Poképuppen,Poké Muñecos,삐삐인형,ピッピにんぎょう,Poké Dolls
Fluffy Tails,Queues Skitty,Code Skitty,Eneco-Ruten,Colas Skitty,에나비꼬리,エネコのシッポ,Fluffy Tails
Blue Flutes,Flûtes Bleues,Flauti Blu,Blaue Flöten,Flautas Azules,파랑비드로,あおいビードロ,Blue Flutes
Yellow Flutes,Flûtes Jaunes,Flauti Gialli,Gelbe Flöten,Flautas Amarillas,노랑비드로,きいろビードロ,Yellow Flutes
Red Flutes,Flûtes Rouges,Flauti Rossi,Rote Flöten,Flautas Rojas,빨강비드로,あかいビードロ,Red Flutes
Black Flutes,Flûtes Noires,Flauti Neri,Schwarze Flöten,Flautas Negras,검정비드로,くろいビードロ,Black Flutes
White Flutes,Flûtes Blanches,Flauti Bianchi,Weiße Flöten,Flautas Blancas,하양비드로,しろいビードロ,White Flutes
Shoal Salts,Sels Tréfonds,Sale Ondoso,Küstensalze,Sales Cardumen,여울소금,あさせのしお,Shoal Salts
Shoal Shells,CoquillesTréfonds,Gusciondosi,Küstenschalen,Conchas Cardumen,여울조개껍질,あさせのかいがら,Shoal Shells
Red Shards,Tessons Rouges,Cocci Rossi,Purpurstücke,Partes Rojas,빨강조각,あかいかけら,Red Shards
Blue Shards,Tessons Bleus,Cocci Blu,Indigostücke,Partes Azules,파랑조각,あおいかけら,Blue Shards
Yellow Shards,Tessons Jaunes,Cocci Gialli,Gelbstücke,Partes Amarillas,노랑조각,きいろいかけら,Yellow Shards
Green Shards,Tessons Verts,Cocci Verdi,Grünstücke,Partes Verdes,초록조각,みどりのかけら,Green Shards
Super Repels,Super Repousses,Superrepellenti,Superschutze,Superrepelentes,실버스프레이,シルバースプレー,Super Repels
Max Repels,Repousses Max,Repellenti Max,Top-Schutze,Repelentes Máximos,골드스프레이,ゴールドスプレー,Max Repels
Escape Ropes,Cordes Sortie,Funi di fuga,Fluchtseile,Cuerdas Huida,동굴탈출로프,あなぬけのヒモ,Escape Ropes
Repels,Repousses,Repellenti,Schutze,Repelentes,벌레회피스프레이,むしよけスプレー,Repels
Sun Stones,Pierres Soleil,Pietresolari,Sonnensteine,Piedras Solares,태양의돌,たいようのいし,Sun Stones
Moon Stones,Pierres Lune,Pietrelunari,Mondsteine,Piedras Lunares,달의돌,つきのいし,Moon Stones
Fire Stones,Pierres Feu,Pietrefocaie,Feuersteine,Piedras Fuego,불꽃의돌,ほのおのいし,Fire Stones
Thunder Stones,Pierres Foudre,Pietretuono,Donnersteine,Piedras Trueno,천둥의돌,かみなりのいし,Thunder Stones
Water Stones,Pierres Eau,Pietreidriche,Wassersteine,Piedras Agua,물의돌,みずのいし,Water Stones
Leaf Stones,Pierres Plante,Pietrefoglia,Blattsteine,Piedras Hoja,리프의돌,リーフのいし,Leaf Stones
Tiny Mushrooms,Petits Champis,Minifunghi,Minipilze,Minisetas,작은버섯,ちいさなキノコ,Tiny Mushrooms
Big Mushrooms,Gros Champis,Grandi Funghi,Riesenpilze,Setas Grandes,큰버섯,おおきなキノコ,Big Mushrooms
Pearls,Perles,Perle,Perlen,Perlas,진주,しんじゅ,Pearls
Big Pearls,Grandes Perles,Grandi Perle,Riesenperlen,Perlas Grandes,큰진주,おおきなしんじゅ,Big Pearls
Stardusts,Poussières Étoiles,Polvostella,Sternenstäube,Polvos Estelares,별의모래,ほしのすな,Stardusts
Star Pieces,Morceaux d’Étoiles,Pezzi Stella,Sternenstücke,Trozos Estrella,별의조각,ほしのかけら,Star Pieces
Nuggets,Pépites,Pepite,Nuggets,Pepitas,금구슬,きんのたま,Nuggets
Heart Scales,Écailles Cœur,Squame Cuore,Herzschuppen,Escamas Corazón,하트비늘,ハートのウロコ,Heart Scales
Honey,Miels,Miele,Honige,Mieles,달콤한꿀,あまいミツ,Honey
Growth Mulch,Fertipousses,Fertilrapido,Wachsmulche,Abonos Rápidos,무럭무럭비료,すくすくこやし,Growth Mulch
Damp Mulch,Fertihumides,Fertilidro,Feuchtmulche,Abonos Lentos,축축이비료,じめじめこやし,Damp Mulch
Stable Mulch,Fertistables,Fertilsaldo,Stabilmulche,Abonos Fijadores,오래오래비료,ながながこやし,Stable Mulch
Gooey Mulch,Fertiglus,Fertilcolla,Neumulche,Abonos Brote,끈적끈적비료,ねばねばこやし,Gooey Mulch
Root Fossils,Fossiles Racines,Radifossili,Wurzelfossilien,Fósiles Raíz,뿌리화석,ねっこのカセキ,Root Fossils
Claw Fossils,Fossiles Griffes,Fossilunghia,Klauenfossilien,Fósiles Garra,발톱화석,ツメのカセキ,Claw Fossils
Helix Fossils,Nautiles,Helixfossili,Helixfossilien,Fósiles Hélix,조개화석,かいのカセキ,Helix Fossils
Dome Fossils,Fossiles Dômes,Domofossili,Domfossilien,Fósiles Domo,껍질화석,こうらのカセキ,Dome Fossils
Old Ambers,Vieux Ambres,Ambre antiche,Altbernsteine,Ámbares Viejos,비밀의호박,ひみつのコハク,Old Ambers
Armor Fossils,Fossiles Armures,Fossilscudo,Panzerfossilien,Fósiles Coraza,방패의화석,たてのカセキ,Armor Fossils
Skull Fossils,Fossiles Crânes,Fossilcranio,Kopffossilien,Fósiles Cráneo,두개의화석,ずがいのカセキ,Skull Fossils
Rare Bones,Os Rares,Ossi Rari,Steinknochen,Huesos Raros,귀중한뼈,きちょうなホネ,Rare Bones
Shiny Stones,Pierres Éclat,Pietrebrillo,Leuchtsteine,Piedras Día,빛의돌,ひかりのいし,Shiny Stones
Dusk Stones,Pierres Nuit,Neropietre,Finstersteine,Piedras Noche,어둠의돌,やみのいし,Dusk Stones
Dawn Stones,Pierres Aube,Pietralbori,Funkelsteine,Piedras Alba,각성의돌,めざめいし,Dawn Stones
Oval Stones,Pierres Ovales,Pietreovali,Ovale Steine,Piedras Ovales,동글동글돌,まんまるいし,Oval Stones
Odd Keystones,Clés de Voûte,Roccianime,Spiritkerne,Piedras Espíritu,쐐기돌,かなめいし,Odd Keystones
Griseous Orbs,Orbes Platinés,Grigiosfere,Platinum-Orbs,Griseosferas,백금옥,はっきんだま,Griseous Orbs
Tea,Thés,Tè,Tees,Tés,차,おちゃ,Tea
???,Chaussures,???,???,(?),???,？？？,???
Autographs,Dédicaces de Bob,Autografi,Autogramme,Autógrafos,마티스의사인,マチスのサイン,Autographs
Douse Drives,Modules Aqua,Idromoduli,Aquamodule,HidroROM,아쿠아카세트,アクアカセット,Douse Drives
Shock Drives,Modules Choc,Voltmoduli,Blitzmodule,FulgoROM,번개카세트,イナズマカセット,Shock Drives
Burn Drives,Modules Pyro,Piromoduli,Flammenmodule,PiroROM,블레이즈카세트,ブレイズカセット,Burn Drives
Chill Drives,Modules Cryo,Gelomoduli,Gefriermodule,CrioROM,프리즈카세트,フリーズカセット,Chill Drives
???,Chaussures de courses,???,???,(?),???,？？？,???
Pokémon Box Links,Boîtes Pokémon,Box Pokémon,Pokémon-Boxen,Cajas de Pokémon,포켓몬 박스,ポケモンボックス,Pokémon Box Links
Medicine Pockets,Trousses de Soins,Tasche rimedi,Medizintaschen,Botiquines,회복포켓,かいふくポケット,Medicine Pockets
TM Cases,Boîtes CT,Porta MT,TM-Boxen,Estuches de MT,기술머신케이스,わざマシンケース,TM Cases
Candy Jars,Bonbonnières,Portacaramelle,Bonbongläser,Tarros de Caramelos,사탕보틀,アメボトル,Candy Jars
Power-Up Pockets,Poches à Renforts,Tasche potenziam.,Stärkungstaschen,Bolsillos Mejoras,강화포켓,きょうかポケット,Power-Up Pockets
Clothing Trunks,Malles à Costumes,Valigie vestiti,Klamottenkoffer,Maletas,옷갈아입기트렁크,おきがえトランク,Clothing Trunks
Catching Pockets,Poches de Capture,Tasche cattura,Fangtaschen,Bolsillos Captura,포획포켓,ほかくポケット,Catching Pockets
Battle Pockets,Poches de Combat,Tasche lotta,Kampftaschen,Bolsillos Combate,배틀포켓,バトルポケット,Battle Pockets
???,Livres,???,???,(?),???,？？？,???
???,,???,???,(?),???,？？？,???
???,,???,???,(?),???,？？？,???
???,???,???,???,(?),???,？？？,???
???,???,???,???,(?),???,？？？,???
Sweet Hearts,Chococœurs,Dolcicuori,Herzkonfekte,Corazones Dulces,하트스위트,ハートスイーツ,Sweet Hearts
Adamant Orbs,Orbes Adamants,Adamasfere,Adamant-Orbs,Diamansferas,금강옥,こんごうだま,Adamant Orbs
Lustrous Orbs,Orbes Perlés,Splendisfere,Weiß-Orbs,Lustresferas,백옥,しらたま,Lustrous Orbs
Greet Mail,Lettres Salut,Messaggi Inizio,Grußbriefe,Cartas Iniciales,첫메일,はじめてメール,Greet Mail
Favored Mail,Lettres Fan,Messaggi TVB,Faiblebriefe,Cartas Favoritos,애호메일,だいすきメール,Favored Mail
RSVP Mail,Lettres Invit,Messaggi Invito,Einladebriefe,Cartas Invitar,권유메일,おさそいメール,RSVP Mail
Thanks Mail,Lettres Merci,Messaggi Grazie,Dankesbriefe,Cartas Gracias,감사메일,かんしゃメール,Thanks Mail
Inquiry Mail,Lettres Demande,Messaggi Chiedi,Fragebriefe,Cartas Pregunta,질문메일,しつもんメール,Inquiry Mail
Like Mail,Lettres Avis,Mess. Sugg.,Insiderbriefe,Cartas Gustos,추천메일,おすすめメール,Like Mail
Reply Mail,Lettres Réponse,Mess. Risp.,Rückbriefe,Cartas Respuesta,답장메일,おかえしメール,Reply Mail
Bridge Mail S,Lettres Pont S,Mess. Frec.,Brückbriefe H,Cartas Puente S,브리지메일S,ブリッジメールＳ,Bridge Mail S
Bridge Mail D,Lettres Pont Y,Mess. Libec.,Brückbriefe M,Cartas Puente F,브리지메일M,ブリッジメールＨ,Bridge Mail D
Bridge Mail T,Lettres Pont F,Mess. Prop.,Brückbriefe Z,Cartas Puente A,브리지메일C,ブリッジメールＣ,Bridge Mail T
Bridge Mail V,Lettres Pont H,Mess. Vill.,Brückbriefe D,Cartas Puente V,브리지메일V,ブリッジメールＶ,Bridge Mail V
Bridge Mail M,Lettres Pont I,Mess. Merav.,Brückbriefe W,Cartas Puente P,브리지메일W,ブリッジメールＷ,Bridge Mail M
Cheri Berries,Baies Ceriz,Baccaliegia,Amrenabeeren,Bayas Zreza,버치열매,クラボのみ,Cheri Berries
Chesto Berries,Baies Maron,Baccastagna,Maronbeeren,Bayas Atania,유루열매,カゴのみ,Chesto Berries
Pecha Berries,Baies Pêcha,Baccapesca,Pirsifbeeren,Bayas Meloc,복슝열매,モモンのみ,Pecha Berries
Rawst Berries,Baies Fraive,Baccafrago,Fragiabeeren,Bayas Safre,복분열매,チーゴのみ,Rawst Berries
Aspear Berries,Baies Willia,Baccaperina,Wilbirbeeren,Bayas Perasi,배리열매,ナナシのみ,Aspear Berries
Leppa Berries,Baies Mepo,Baccamela,Jonagobeeren,Bayas Zanama,과사열매,ヒメリのみ,Leppa Berries
Oran Berries,Baies Oran,Baccarancia,Sinelbeeren,Bayas Aranja,오랭열매,オレンのみ,Oran Berries
Persim Berries,Baies Kika,Baccaki,Persimbeeren,Bayas Caquic,시몬열매,キーのみ,Persim Berries
Lum Berries,Baies Prine,Baccaprugna,Prunusbeeren,Bayas Ziuela,리샘열매,ラムのみ,Lum Berries
Sitrus Berries,Baies Sitrus,Baccacedro,Tsitrubeeren,Bayas Zidra,자뭉열매,オボンのみ,Sitrus Berries
Figy Berries,Baies Figuy,Baccafico,Giefebeeren,Bayas Higog,무화열매,フィラのみ,Figy Berries
Wiki Berries,Baies Wiki,Baccakiwi,Wikibeeren,Bayas Wiki,위키열매,ウイのみ,Wiki Berries
Mago Berries,Baies Mago,Baccamango,Magobeeren,Bayas Ango,마고열매,マゴのみ,Mago Berries
Aguav Berries,Baies Gowav,Baccaguava,Gauvebeeren,Bayas Guaya,아바열매,バンジのみ,Aguav Berries
Iapapa Berries,Baies Papaya,Baccapaia,Yapabeeren,Bayas Pabaya,파야열매,イアのみ,Iapapa Berries
Razz Berries,Baies Framby,Baccalampon,Himmihbeeren,Bayas Frambu,라즈열매,ズリのみ,Razz Berries
Bluk Berries,Baies Remu,Baccamora,Morbbeeren,Bayas Oram,블리열매,ブリーのみ,Bluk Berries
Nanab Berries,Baies Nanab,Baccabana,Nanabbeeren,Bayas Latano,나나열매,ナナのみ,Nanab Berries
Wepear Berries,Baies Repoi,Baccapera,Nirbebeeren,Bayas Peragu,서배열매,セシナのみ,Wepear Berries
Pinap Berries,Baies Nanana,Baccananas,Sananabeeren,Bayas Pinia,파인열매,パイルのみ,Pinap Berries
Pomeg Berries,Baies Grena,Baccagrana,Granabeeren,Bayas Grana,유석열매,ザロクのみ,Pomeg Berries
Kelpsy Berries,Baies Alga,Baccalga,Setangbeeren,Bayas Algama,시마열매,ネコブのみ,Kelpsy Berries
Qualot Berries,Baies Qualot,Baccaloquat,Qualotbeeren,Bayas Ispero,파비열매,タポルのみ,Qualot Berries
Hondew Berries,Baies Lonme,Baccamelon,Honmelbeeren,Bayas Meluce,로매열매,ロメのみ,Hondew Berries
Grepa Berries,Baies Résin,Baccauva,Labrusbeeren,Bayas Uvav,또뽀열매,ウブのみ,Grepa Berries
Tamato Berries,Baies Tamato,Baccamodoro,Tamotbeeren,Bayas Tamate,토망열매,マトマのみ,Tamato Berries
Cornn Berries,Baies Siam,Baccavena,Saimbeeren,Bayas Mais,수숙열매,モコシのみ,Cornn Berries
Magost Berries,Baies Mangou,Baccagostan,Magostbeeren,Bayas Aostan,고스티열매,ゴスのみ,Magost Berries
Rabuta Berries,Baies Rabuta,Baccambutan,Rabutabeeren,Bayas Rautan,라부탐열매,ラブタのみ,Rabuta Berries
Nomel Berries,Baies Tronci,Baccalemon,Tronzibeeren,Bayas Monli,노멜열매,ノメルのみ,Nomel Berries
Spelon Berries,Baies Kiwan,Baccamelos,Kiwanbeeren,Bayas Wikano,메호키열매,ノワキのみ,Spelon Berries
Pamtre Berries,Baies Palma,Baccapalma,Pallmbeeren,Bayas Plama,자야열매,シーヤのみ,Pamtre Berries
Watmel Berries,Baies Stekpa,Baccacomero,Wasmelbeeren,Bayas Sambia,슈박열매,カイスのみ,Watmel Berries
Durin Berries,Baies Durin,Baccadurian,Durinbeeren,Bayas Rudion,두리열매,ドリのみ,Durin Berries
Belue Berries,Baies Myrte,Baccartillo,Myrtilbeeren,Bayas Andano,루베열매,ベリブのみ,Belue Berries
Occa Berries,Baies Chocco,Baccacao,Koakobeeren,Bayas Caoca,오카열매,オッカのみ,Occa Berries
Passho Berries,Baies Pocpoc,Baccapasflo,Foepasbeeren,Bayas Pasio,꼬시개열매,イトケのみ,Passho Berries
Wacan Berries,Baies Parma,Baccaparmen,Kerzalbeeren,Bayas Gualot,초나열매,ソクノのみ,Wacan Berries
Rindo Berries,Baies Ratam,Baccarindo,Grindobeeren,Bayas Tamar,린드열매,リンドのみ,Rindo Berries
Yache Berries,Baies Nanone,Baccamoya,Kiroyabeeren,Bayas Rimoya,플카열매,ヤチェのみ,Yache Berries
Chople Berries,Baies Pomroz,Baccarosmel,Rospelbeeren,Bayas Pomaro,로플열매,ヨプのみ,Chople Berries
Kebia Berries,Baies Kébia,Baccakebia,Grarzbeeren,Bayas Kebia,으름열매,ビアーのみ,Kebia Berries
Shuca Berries,Baies Jouca,Baccanaca,Schukebeeren,Bayas Acardo,슈캐열매,シュカのみ,Shuca Berries
Coba Berries,Baies Cobaba,Baccababa,Kobabeeren,Bayas Kouba,바코열매,バコウのみ,Coba Berries
Payapa Berries,Baies Yapap,Baccapayapa,Pyapabeeren,Bayas Payapa,야파열매,ウタンのみ,Payapa Berries
Tanga Berries,Baies Panga,Baccaitan,Tanigabeeren,Bayas Yecana,리체열매,タンガのみ,Tanga Berries
Charti Berries,Baies Charti,Baccaciofo,Chiaribeeren,Bayas Alcho,루미열매,ヨロギのみ,Charti Berries
Kasib Berries,Baies Sédra,Baccacitrus,Zitarzbeeren,Bayas Drasi,수불열매,カシブのみ,Kasib Berries
Haban Berries,Baies Fraigo,Baccahaban,Terirobeeren,Bayas Anjiro,하반열매,ハバンのみ,Haban Berries
Colbur Berries,Baies Lampou,Baccaxan,Burleobeeren,Bayas Dillo,마코열매,ナモのみ,Colbur Berries
Babiri Berries,Baies Babiri,Baccababiri,Babiribeeren,Bayas Baribá,바리비열매,リリバのみ,Babiri Berries
Chilan Berries,Baies Zalis,Baccacinlan,Latchibeeren,Bayas Chilan,카리열매,ホズのみ,Chilan Berries
Liechi Berries,Baies Lichii,Baccalici,Lydzibeeren,Bayas Lichi,치리열매,チイラのみ,Liechi Berries
Ganlon Berries,Baies Lingan,Baccalongan,Linganbeeren,Bayas Gonlan,용아열매,リュガのみ,Ganlon Berries
Salac Berries,Baies Sailak,Baccasalak,Salkabeeren,Bayas Aslac,캄라열매,カムラのみ,Salac Berries
Petaya Berries,Baies Pitaye,Baccapitaya,Tahaybeeren,Bayas Yapati,야타비열매,ヤタピのみ,Petaya Berries
Apicot Berries,Baies Abriko,Baccacocca,Apikobeeren,Bayas Aricoc,규살열매,ズアのみ,Apicot Berries
Lansat Berries,Baies Lansat,Baccalangsa,Lansatbeeren,Bayas Zonlan,랑사열매,サンのみ,Lansat Berries
Starf Berries,Baies Frista,Baccambola,Krambobeeren,Bayas Arabol,스타열매,スターのみ,Starf Berries
Enigma Berries,Baies Enigma,Baccaenigma,Enigmabeeren,Bayas Enigma,의문열매,ナゾのみ,Enigma Berries
Micle Berries,Baies Micle,Baccaracolo,Wunfrubeeren,Bayas Lagro,미클열매,ミクルのみ,Micle Berries
Custap Berries,Baies Chérim,Baccacrela,Eipfelbeeren,Bayas Chiri,애슈열매,イバンのみ,Custap Berries
Jaboca Berries,Baies Jaboca,Baccajaba,Jabocabeeren,Bayas Jaboca,자보열매,ジャポのみ,Jaboca Berries
Rowap Berries,Baies Pommo,Baccaroam,Roselbeeren,Bayas Magua,애터열매,レンブのみ,Rowap Berries
Bright Powders,Poudres Claires,Luminpolvere,Blendpuder,Polvos Brillo,반짝가루,ひかりのこな,Bright Powders
White Herbs,Herbes Blanches,Erbechiare,Schlohkräuter,Hierbas Blancas,하양허브,しろいハーブ,White Herbs
Macho Braces,Bracelets Macho,Crescicappa,Machobänder,Brazales Firmes,교정깁스,きょうせいギプス,Macho Braces
Exp. Shares,Multi Exp,Condividi esp.,EP-Teiler,Repartir Experiencia,학습장치,がくしゅうそうち,Exp. Shares
Quick Claws,Vives Griffes,Rapidartigli,Flinkklauen,Garras Rápidas,선제공격손톱,せんせいのツメ,Quick Claws
Soothe Bells,Grelots Zen,Calmanelle,Sanftglocken,Cascabeles Alivio,평온의방울,やすらぎのすず,Soothe Bells
Mental Herbs,Herbes Mental,Mentalerbe,Mentalkräuter,Hierbas Mentales,멘탈허브,メンタルハーブ,Mental Herbs
Choice Bands,Bandeaux Choix,Bendescelta,Wahlbänder,Cintas Elección,구애머리띠,こだわりハチマキ,Choice Bands
King’s Rocks,Roches Royales,Rocce di Re,King-Steine,Rocas del Rey,왕의징표석,おうじゃのしるし,King’s Rocks
Silver Powders,Poudres Argentées,Argenpolvere,Silberstäube,Polvos Plata,은빛가루,ぎんのこな,Silver Powders
Amulet Coins,Pièces Rune,Monetamuleti,Münzamulette,Monedas Amuleto,부적금화,おまもりこばん,Amulet Coins
Cleanse Tags,Runes Purifiantes,Velipuri,Schutzbänder,Amuletos,순결의부적,きよめのおふだ,Cleanse Tags
Soul Dews,Rosées Âme,Cuorugiade,Seelentau,Rocíos Bondad,마음의물방울,こころのしずく,Soul Dews
Deep Sea Teeth,Dents Océan,Denti Abissi,Abysszähne,Dientes Marinos,심해의이빨,しんかいのキバ,Deep Sea Teeth
Deep Sea Scales,Écailles Océan,Squameabissi,Abyssplatten,Escamas Marinas,심해의비늘,しんかいのウロコ,Deep Sea Scales
Smoke Balls,Boules Fumée,Palle Fumo,Rauchbälle,Bolas de Humo,연막탄,けむりだま,Smoke Balls
Everstones,Pierres Stase,Pietrestanti,Ewigsteine,Piedras Eternas,변함없는돌,かわらずのいし,Everstones
Focus Bands,Bandeaux,Bandane,Fokusbänder,Cintas Focus,기합의머리띠,きあいのハチマキ,Focus Bands
Lucky Eggs,Œufs Chance,Fortunuova,Glücks-Eier,Huevos Suerte,행복의알,しあわせタマゴ,Lucky Eggs
Scope Lenses,Lentilscopes,Mirini,Scope-Linsen,Periscopios,초점렌즈,ピントレンズ,Scope Lenses
Metal Coats,Peaux Métal,Metalcoperte,Metallmäntel,Revest. Metálicos,금속코트,メタルコート,Metal Coats
Leftovers,Restes,Avanzi,Überreste,Restos,먹다남은음식,たべのこし,Leftovers
Dragon Scales,Écailles Draco,Squame Drago,Drachenhäute,Escamas Dragón,용의비늘,りゅうのウロコ,Dragon Scales
Light Balls,Balles Lumière,Elettropalle,Kugelblitze,Bolas Luminosas,전기구슬,でんきだま,Light Balls
