en,fr,es,it
"It is very difficult to find and is full of \nl\c[2]Leviator\c[0], so it's best to be careful!   ","Il est très difficile à trouver et il est rempli de  \nl\c[2]Léviator\c[0], il vaut mieux faire attention !   ","Es muy difícil de encontrar y está lleno de \nl\c[2]Leviator\c[0], ¡así que es mejor tener cuidado !   ","È molto difficile da trovare ed è pieno di \nl\c[2]Leviator\c[0], è meglio stare attenti !   "
Apparently no one manages to go back a \nlsecond time.  ,Apparement personne n'arrive à y retourner une \nldeuxième fois.  ,"Al parecer, nadie consigue volver una \nlsegunda vez.  ",A quanto pare nessuno riesce a tornarci una \nlseconda volta.  
"There are even people who claim to have seen a \nlgiant red monster in the middle of the lake, sailing\nlamong others\c[2]Léviators\c[0]. ","Il y a même des personnes qui racontent avoir vu un \nlmonstre géant tout rouge au centre du lac, naviguant\nlparmi les autres \c[2]Léviators\c[0]. ","Hay incluso personas que cuentan haber visto un \nlmonstruo gigante completamente rojo en medio del lago, navegando\nlentre otros \c[2]Léviators\c[0]. ","Ci sono persino persone che raccontano di aver visto un \nl mostro gigante tutto rosso al centro del lago, che naviga\nltra gli altri \c[2]Léviators\c[0]. "
It's quite surreal...,C'est assez suréaliste...,Es bastante surrealista...,È piuttosto surreale...
"Well, that's all for this time ! If you want \nlfor a little more juicy detail, don't hesitate to come by \nlvisit us at our radio center in Souflopolis.",Et bien se sera tout pour cette fois ! Si vous voulez \nlun peu plus de détail croustillant n'hésitez pas à venir \nlnous voir à notre centre de radio de Souflopolis.,"¡ Bueno, eso es todo por esta vez ! Si queréis \nlSi desea más detalles interesantes, no dude en visitarnos \nlvisítenos en nuestro centro de radio de Souflopolis.","Bene, per questa volta è tutto ! Se volete \nlper ulteriori dettagli interessanti, non esitate a contattarci \nlvenite a trovarci al nostro centro radio di Souflopolis."
That was Coupinette Poketoonz live on PokeTV.\nlSee you soon!,"C'était Coupinette Poketoonz en direct sur PokeTV.\nlA bientôt !""",Ha sido Coupinette Poketoonz en directo en PokeTV.\nl¡ Hasta pronto !,Era Coupinette Poketoonz in diretta su PokeTV.\nlA presto!
:[align=center]:\s[i]The TV is off.\s[r],:[align=center]:\s[i]La télé est éteinte.\s[r],:[align=center]:\s[i]La televisión está apagada.\s[r],:[align=center]:\s[i]La TV è spenta.\s[r]
:[align=center]:\s[i]The TV is off.\s[r],:[align=center]:\s[i]La télé est éteinte.\s[r],:[align=center]:\s[i]La televisión está apagada.\s[r],:[align=center]:\s[i]La TV è spenta.\s[r]
:[align=center]:\s[i]The TV is off.\s[r],:[align=center]:\s[i]La télé est éteinte.\s[r],:[align=center]:\s[i]La televisión está apagada.\s[r],:[align=center]:\s[i]La TV è spenta.\s[r]
":[align=center]:\s[i]Books on mathematics, chemistry, biology, physics[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r]",":[align=center]:\s[i]Des livres de mathématiques, chimie, biologie, physique[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r]",":[align=center]:\s[i]Libros de matemáticas, química, biología, física.[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r]",":[align=center]:\s[i]Libri di matematica, chimica, biologia, fisica[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r]"
:[align=center]:\s[i]Would you like to watch TV ?\s[r],:[align=center]:\s[i]Voulez vous regarder la télé ?\s[r],:[align=center]:\s[i]¿ Quieres ver la televisión ?\s[r],:[align=center]:\s[i]Vuoi guardare la TV ?\s[r]
Yes,Oui,Sí,Sì
No,Non,No,No
"""And that concludes our program on the unsolved mysteries surrounding the \c[2]Pokemon\c[0]. \nlSee you tonight at 8 p.m. for the next part of our show ! \nlDon't forget, this will be an exclusive broadcast, so come along and join us. \nlThis was Coupinette Poketoonz live on PokeTV.","""Et voici comment prend fin notre émission sur les mystères non résolus à propos des \c[2]Pokemon\c[0]. \nlJe vous dis à ce soir 20h pour la suite de notre émission ! \nlN'oubliez pas, ce sera une émission exclusive, venez nombreux. \nlC'était Coupinette Poketoonz en direct sur PokeTV.","""Y así concluye nuestro programa sobre los misterios sin resolver relacionados con los \c[2]Pokemon\c[0]. \nl¡ Nos vemos esta noche a las 20:00 para continuar con nuestro programa ! \nlNo lo olviden, será un programa exclusivo, vengan todos. \nlEra Coupinette Poketoonz en directo en PokeTV.","""E così si conclude la nostra trasmissione sui misteri irrisolti riguardanti i \c[2]Pokemon\c[0]. \nlCi vediamo stasera alle 20:00 per la continuazione della nostra trasmissione! \nlNon dimenticate, sarà un programma esclusivo, venite numerosi. \nlEra Coupinette Poketoonz in diretta su PokeTV."
"""And that concludes the first part of our program on unsolved mysteries about \c[2]Pokemon\c[0]. \nlSee you in a moment after a short commercial break for the rest of our program! \nlRemember, this is an exclusive broadcast. \nlThis was Coupinette Poketoonz live on PokeTV.","""Et voici comment prend fin notre première partie de l'émission sur les mystères non résolus à propos des \c[2]Pokemon\c[0]. \nlJe vous dis à tout de suite après une courte pub pour la suite de notre émission ! \nlN'oubliez pas, c'est une émission exclusive. \nlC'était Coupinette Poketoonz en direct sur PokeTV.","""Y así concluye la primera parte de nuestro programa sobre los misterios sin resolver relacionados con los \c[2]Pokemon\c[0]. \nl¡ Nos vemos enseguida, tras un breve anuncio, con la continuación de nuestro programa ! \nlNo lo olvides, es un programa exclusivo.\nlEra Coupinette Poketoonz en directo en PokeTV.","""E così si conclude la prima parte della nostra trasmissione sui misteri irrisolti riguardanti i \c[2]Pokemon\c[0]. \nlCi vediamo tra poco, dopo una breve pausa pubblicitaria, per la seconda parte della nostra trasmissione ! \nlNon dimenticate, è un programma esclusivo. \nlEra Coupinette Poketoonz in diretta su PokeTV."
"""And that concludes our program on the unsolved mysteries surrounding the \c[2]Pokemon\c[0]. \nlSee you next Tuesday at 8 p.m. for the next episode of our show ! \nlDon't forget, this will be an exclusive broadcast, so come along and join us. \nlThis was Coupinette Poketoonz live on PokeTV.","""Et voici comment prend fin notre émission sur les mystères non résolus à propos des \c[2]Pokemon\c[0]. \nlJe vous dis à mardi prochain 20h pour la suite de notre émission ! \nlN'oubliez pas, ce sera une émission exclusive, venez nombreux. \nlC'était Coupinette Poketoonz en direct sur PokeTV.","""Y así concluye nuestro programa sobre los misterios sin resolver relacionados con los \c[2]Pokemon\c[0]. \nl¡ Nos vemos el próximo martes a las 20:00 para continuar con nuestro programa ! \nlNo lo olviden, será un programa exclusivo, vengan todos. \nlEra Coupinette Poketoonz en directo en PokeTV.","""E così si conclude la nostra trasmissione sui misteri irrisolti riguardanti i \c[2]Pokemon\c[0]. \nlCi vediamo martedì prossimo alle 20:00 per la continuazione della nostra trasmissione ! \nlNon dimenticate, sarà un programma esclusivo, venite numerosi. \nlEra Coupinette Poketoonz in diretta su PokeTV."
"""And that concludes our program on the unsolved mysteries surrounding the \c[2]Pokemon\c[0]. \nlSee you Tuesday at 8 p.m. for the next episode of our show ! \nlDon't forget, this will be an exclusive broadcast, so come along and join us. \nlThis was Coupinette Poketoonz live on PokeTV.","""Et voici comment prend fin notre émission sur les mystères non résolus à propos des \c[2]Pokemon\c[0]. \nlJe vous dis à mardi 20h pour la suite de notre émission ! \nlN'oubliez pas, ce sera une émission exclusive, venez nombreux. \nlC'était Coupinette Poketoonz en direct sur PokeTV.","""Y así concluye nuestro programa sobre los misterios sin resolver relacionados con los \c[2]Pokemon\c[0]. \nl¡ Nos vemos el martes a las 20:00 para continuar con nuestro programa ! \nlNo lo olviden, será un programa exclusivo, vengan todos. \nlEra Coupinette Poketoonz en directo en PokeTV.","""E così si conclude la nostra trasmissione sui misteri irrisolti riguardanti i \c[2]Pokemon\c[0]. \nlCi vediamo martedì alle 20:00 per la continuazione della nostra trasmissione ! \nlNon dimenticate, sarà un programma esclusivo, venite numerosi. \nlEra Coupinette Poketoonz in diretta su PokeTV."
"See you soon !""","À bientôt !""","¡ Hasta pronto !""","A presto !"""
:[align=center]:\s[i]The TV is off.\s[r],:[align=center]:\s[i]La télé est éteinte.\s[r],:[align=center]:\s[i]La televisión está apagada.\s[r],:[align=center]:\s[i]La TV è spenta.\s[r]
:[align=center]:\s[i]Would you like to watch TV?\s[r],:[align=center]:\s[i]Voulez vous regarder la télé ?\s[r],:[align=center]:\s[i]¿ Quieres ver la televisión ?\s[r],:[align=center]:\s[i]Vuoi guardare la TV?\s[r]
Yes,Oui,Sí,Sì
No,Non,No,No
"""Hello, everyone! This is Coupinette Poketoonz live on PokeTV. \nlWe have a wonderful evening ahead of us discussing unsolved mysteries about \c[2]Pokemon\c[0].\nlAt first, adventurers talk about a red monster...","""Bonjour à toute et à tous ! Ici Coupinette Poketoonz en direct sur PokeTV. \nlNous avons une magnifique soirée qui nous attend à propos des mystères non résolu sur les \c[2]Pokemon\c[0].\nlDans un premier temps des aventuriers parle d'un monstre rouge...","""¡ Hola a todos y todas ! Aquí Coupinette Poketoonz en directo en PokeTV. \nlNos espera una velada magnífica sobre los misterios sin resolver de los \c[2]Pokemon\c[0].\nlAl principio, los aventureros hablan de un monstruo rojo...","""Buongiorno a tutti ! Qui è Coupinette Poketoonz in diretta su PokeTV. \nlCi aspetta una serata fantastica dedicata ai misteri irrisolti sui \c[2]Pokemon\c[0].\nlIn un primo momento gli avventurieri parlano di un mostro rosso..."
"According to some people, \nlthere is a mysterious lake in Bombance.",D'après certaines personnes un lac mystérieux \nlexiste à Bombance.,"Según algunas personas, \nlexiste un lago misterioso en Bombance.","Secondo alcune persone, \na Bombance esiste un lago misterioso."
"It is very difficult to find and it is full of \nl\c[2]Léviator\c[0], it's better to be careful!   ","Il est très difficile à trouver et il est rempli de  \nl\c[2]Léviator\c[0], il vaut mieux faire attention !   ","Es muy difícil de encontrar y está lleno de \nl\c[2]Léviator\c[0], ¡ es mejor tener cuidado !    ","È molto difficile da trovare ed è pieno di \nl\c[2]Léviator\c[0], è meglio stare attenti !   "
Apparently no one manages to go back a \nlsecond time.,Apparement personne n'arrive à y retourner une \nldeuxième fois.  ,"Al parecer, nadie consigue volver por \nlsegunda vez.",A quanto pare nessuno riesce a tornarci una \nl seconda volta.
"There are even people who claim to have seen a \nlgiant red monster in the middle of the lake, sailing\nlamong others \c[2]Léviators\c[0]. ","Il y a même des personnes qui racontent avoir vu un \nlmonstre géant tout rouge au centre du lac, naviguant\nlparmi les autres \c[2]Léviators\c[0]. ","Hay incluso personas que cuentan haber visto un \nlmonstruo gigante completamente rojo en medio del lago, navegando\nlentre otros\c[2]Léviators\c[0]. ","Ci sono persino persone che raccontano di aver visto un \nlun mostro gigante tutto rosso al centro del lago, che naviga\nltra gli altri \c[2]Léviators\c[0]. "
It's quite surreal...,C'est assez suréaliste...,Es bastante surrealista...,È piuttosto surreale...
"Well, that's all for now! If you want \nla little more juicy detail, don't hesitate to come \nlsee us at our radio center in Souflopolis.",Et bien se sera tout pour cette fois ! Si vous voulez \nlun peu plus de détail croustillant n'hesitez pas à venir \nlnous voir à notre centre de radio de Souflopolis.,"¡ Bueno, eso es todo por esta vez ! Si quieres \nlmás detalles jugosos, no dudes en venir \nlvisítenos en nuestro centro de radio de Souflopolis.","Bene, per questa volta è tutto ! Se volete \nlper ulteriori dettagli interessanti, non esitate a contattarci. \nlvenite a trovarci al nostro centro radio di Souflopolis."
"This was Coupinette Poketoonz live on PokeTV.\nlSee you soon !""","C'était Coupinette Poketoonz en direct sur PokeTV.\nlÀ bientôt !""","Era Coupinette Poketoonz en directo en PokeTV.\nl¡ Hasta pronto !""","Era Coupinette Poketoonz in diretta su PokeTV.\nlA presto !"""
:[align=center]:\s[i]The TV is off.\s[r],:[align=center]:\s[i]La télé est éteinte.\s[r],:[align=center]:\s[i]La televisión está apagada.\s[r],:[align=center]:\s[i]La TV è spenta.\s[r]
:[align=center]:\s[i]The TV is off.\s[r],:[align=center]:\s[i]La télé est éteinte.\s[r],:[align=center]:\s[i]La televisión está apagada.\s[r],:[align=center]:\s[i]La TV è spenta.\s[r]
:[align=center]:\s[i]The TV is off.\s[r],:[align=center]:\s[i]La télé est éteinte.\s[r],:[align=center]:\s[i]La televisión está apagada.\s[r],:[align=center]:\s[i]La TV è spenta.\s[r]
":[align=center]:\s[i]Books on mathematics, chemistry, biology, physics[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r]",":[align=center]:\s[i]Des livres de mathématiques, chimie, biologie, physique[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r]",":[align=center]:\s[i]Des livres de mathématiques, chimie, biologie, physique[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r]",":[align=center]:\s[i]Libri di matematica, chimica, biologia, fisica[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\s[r]"
