en,fr,it,de,es,ko,kana,pt
EXP,EXP,ESP,Erf.,EXP.,EXP,EXP,EXP
HP,PV,PS,KP,PS,HP,HP,HP
Lv.,N.,L. ,Lv.,Nv.,Lv.,Lv.,Lv.
THE END,Fin,FINE,Ende,FIN,THE END,THE END,THE END
VS,VS,VS,VS.,VS,VS,ＶＳ,VS
Sidney,Damien,Fosco,Ulrich,Sixto,혁진,カゲツ,Sidney
Phoebe,Spectra,Ester,Antonia,Fátima,회연,フヨウ,Phoebe
Glacia,Glacia,Frida,Frosina,Nívea,미혜,プリム,Glacia
Drake,Aragon,Drake,Dragan,Dracón,권수,ゲンジ,Drake
VS,VS,VS,VS.,VS,VS,ＶＳ,VS
Steven,Pierre,Rocco,Troy,Máximo,성호,ダイゴ,Steven
POKÉMON LEAGUE CHAMPION,Maître de la Ligue,Campione della Lega Pokémon,Champ der Pokémon Liga,Campeón de la Liga Pokémon,POKÉMON LEAGUE CHAMPION,POKÉMON LEAGUE CHAMPION,POKÉMON LEAGUE CHAMPION
VS,VS,VS,VS.,VS,VS,ＶＳ,VS
Roxanne,Roxanne,Petra,Felizia,Petra,원규,ツツジ,Roxanne
Brawly,Bastien,Rudi,Kamillo,Marcial,철구,トウキ,Brawly
Wattson,Voltère,Walter,Walter,Erico,암페어,テッセン,Wattson
Flannery,Adriane,Fiammetta,Flavia,Candela,민지,アスナ,Flannery
Norman,Norman,Norman,Norman,Norman,종길,センリ,Norman
Winona,Alizée,Alice,Wibke,Alana,은송,ナギ,Winona
Liza and Tate,Lévy & Tatia,Tell e Pat,Ben & Svenja,Vito y Leti,풍&란,フウとラン,Liza and Tate
Wallace,Marc,Adriano,Wassili,Plubio,윤진,ミクリ,Wallace
Hall of Fame,Bienvenue au Panthéon !,Eccoti nella Sala d’Onore!,Glückwunsch zum Einzug in die Ruhmeshalle!,¡Enhorabuena por entrar en el Hall de la Fama!,전당등록을 축하합니다!,でんどういり　おめでとう！,Hall of Fame
Congratulations!,Bravo !,Congratulazioni!,Glückwunsch!,¡Felicidades!,축하합니다!,おめでとう！,Congratulations!
Congratulations on becoming Pokémon League Champion!,Félicitations au nouveau Maître de la Ligue !,Campione della Lega Pokémon! Congratulazioni!,Glückwunsch! Du bist der Champ der Pokémon Liga!,¡Enhorabuena por convertirte en Campeón de la Liga Pokémon!,포켓몬리그 챔피언을 축하합니다!,ポケモンリーグ　チャンピオン　おめでとう！,Congratulations on becoming Pokémon League Champion!
Congratulations on becoming Pokémon League Champion!,Félicitations au nouveau Maître de la Ligue !,Campionessa della Lega Pokémon! Congratulazioni!,Glückwunsch! Du bist der Champ der Pokémon Liga!,¡Enhorabuena por convertirte en Campeona de la Liga Pokémon!,포켓몬리그 챔피언을 축하합니다!,ポケモンリーグ　チャンピオン　おめでとう！,Congratulations on becoming Pokémon League Champion!
PRESS START,APPUYEZ SUR START,PREMI START,DRÜCKE START,PULSA START,PUSH START BUTTON,PUSH START BUTTON,PRESS START
Battle Time:,Combat :,Tempo lotta:,Zeitlimit:,T. combate:,Game Set,Game Set,Battle Time:
Command Time:,Commande :,Tempo turno:,Eingabezeit:,T. turno:,Command Time,Command Time,Command Time:
Talent Round: Start!,Jury des Démonstrations : C’est parti !,Valutazione esibizione... Via!,Kunststücksrunde: Los geht’s!,Inicio de la Valoración de la Exhibición,어필심사 시작,アピールしんさ　かいし,Talent Round: Start!
Talent Round: Complete!,Jury des Démonstrations : C’est fini…,Valutazione esibizione... Fine!,Kunststücksrunde: Das war’s!,Fin de la Valoración de la Exhibición,어필심사 종료,アピールしんさ　おわり,Talent Round: Complete!
Normal Rank,Niveau Normal,Livello Normale,Normal-Rang,Nivel Normal,노말랭크,ノーマルランク,Normal Rank
Super Rank,Niveau Super,Livello Super,Super-Rang,Nivel Alto,슈퍼랭크,スーパーランク,Super Rank
Hyper Rank,Niveau Hyper,Livello Iper,Hyper-Rang,Nivel Avanzado,하이퍼랭크,ハイパーランク,Hyper Rank
Master Rank,Niveau Master,Livello Master,Meister-Rang,Nivel Maestro,마스터랭크,マスターランク,Master Rank
[~ 122],[~ 122],[~ 122],[~ 122],[~ 122],[~ 122],[~ 122],[~ 122]
[~ 123],[~ 123],[~ 123],[~ 123],[~ 123],[~ 123],[~ 123],[~ 123]
[~ 124],[~ 124],[~ 124],[~ 124],[~ 124],[~ 124],[~ 124],[~ 124]
[~ 125],[~ 125],[~ 125],[~ 125],[~ 125],[~ 125],[~ 125],[~ 125]
[~ 126],[~ 126],[~ 126],[~ 126],[~ 126],[~ 126],[~ 126],[~ 126]
CONGRATULATIONS!,Bravo !!!,Congratulazioni!,Glückwunsch!,¡Bien hecho!,축하합니다!!,おめでとう!!,CONGRATULATIONS!
RESULTS,Résultats,RISULTATI,Auswertung,Resultados,결과 발표,けっかはっぴょう,RESULTS
COOL,S.-froid,CLASSE,Coolness,Carisma,근사함,かっこよさ,COOL
BEAUTIFUL,Beauté,BELLEZZA,Schönh.,Belleza,아름다움,うつくしさ,BEAUTIFUL
CUTE,Grâce,GRAZIA,Putzigk.,Dulzura,귀여움,かわいさ,CUTE
CLEVER,Intell.,ACUME,Klugheit,Ingenio,슬기로움,かしこさ,CLEVER
TOUGH,Robust.,GRINTA,Stärke,Dureza,강인함,たくましさ,TOUGH
[~ 134],[~ 134],[~ 134],[~ 134],[~ 134],[~ 134],[~ 134],[~ 134]
[~ 135],[~ 135],[~ 135],[~ 135],[~ 135],[~ 135],[~ 135],[~ 135]
[~ 136],[~ 136],[~ 136],[~ 136],[~ 136],[~ 136],[~ 136],[~ 136]
[~ 137],[~ 137],[~ 137],[~ 137],[~ 137],[~ 137],[~ 137],[~ 137]
[~ 138],[~ 138],[~ 138],[~ 138],[~ 138],[~ 138],[~ 138],[~ 138]
AreaNav,Navi-Map,NaviMappa,Karten-Navi,CartoNav,맵 내비,マップナビ,AreaNav
PlayNav,Navi-Fun,NaviSvago,Spiel-Navi,DiverNav,플레이내비,プレイナビ,PlayNav
BuzzNav,Navi-Show,NaviTalk,Video-Navi,VideoNav,TV 내비,テレビナビ,BuzzNav
DexNav,Navi-Dex,NaviDex,Pokédex-Navi,DexNav,도감 내비,ずかんナビ,DexNav
Places,Carte,Mappa,Karte,Mapa,타운맵,マップ,Places
Pokémon,Biotopes,Pokémon,Pokémon,Pokémon,분포,ぶんぷ,Pokémon
Trainers,Registre,Allenatori,Trainer,Entren.,트레이너 아이,トレーナーアイ,Trainers
Bases,Bases,Basi,Basen,Bases,비밀기지,ひみつきち,Bases
Berries,Baies,Bacche,Beeren,Cultivos,나무열매,きのみ,Berries
Elite Four,Conseil 4,Superquattro,Top Vier,Alto Mando,the big four,the big four,Elite Four
COOLNESS CONTEST,Concours Sang-froid,Gara di Classe,Coolnesswettbewerb,Concurso de Carisma,근사함 콘테스트,かっこよさ コンテスト,COOLNESS CONTEST
BEAUTY CONTEST,Concours Beauté,Gara di Bellezza,Schönheitswettbewerb,Concurso de Belleza,아름다움 콘테스트,うつくしさ コンテスト,BEAUTY CONTEST
CUTENESS CONTEST,Concours Grâce,Gara di Grazia,Putzigkeitswettbewerb,Concurso de Dulzura,귀여움 콘테스트,かわいさ コンテスト,CUTENESS CONTEST
CLEVERNESS CONTEST,Concours Intelligence,Gara di Acume,Klugheitswettbewerb,Concurso de Ingenio,슬기로움 콘테스트,かしこさ コンテスト,CLEVERNESS CONTEST
TOUGHNESS CONTEST,Concours Robustesse,Gara di Grinta,Stärkewettbewerb,Concurso de Dureza,강인함 콘테스트,たくましさ コンテスト,TOUGHNESS CONTEST
