en,fr,it,de,es,ko,kana,pt
Tanga,Panga,Baccaitan,Taniga,Yecana,리체,タンガ,Tanga
Charti,Charti,Baccaciofo,Chiari,Alcho,루미,ヨロギ,Charti
Kasib,Sédra,Baccacitrus,Zitarz,Drasi,수불,カシブ,Kasib
Haban,Fraigo,Baccahaban,Teriro,Anjiro,하반,ハバン,Haban
Colbur,Lampou,Baccaxan,Burleo,Dillo,마코,ナモ,Colbur
Babiri,Babiri,Baccababiri,Babiri,Baribá,바리비,リリバ,Babiri
Chilan,Zalis,Baccacinlan,Latchi,Chilan,카리,ホズ,Chilan
Liechi,Lichii,Baccalici,Lydzi,Lichi,치리,チイラ,Liechi
Ganlon,Lingan,Baccalongan,Lingan,Gonlan,용아,リュガ,Ganlon
Salac,Sailak,Baccasalak,Salka,Aslac,캄라,カムラ,Salac
Petaya,Pitaye,Baccapitaya,Tahay,Yapati,야타비,ヤタピ,Petaya
Apicot,Abriko,Baccacocca,Apiko,Aricoc,규살,ズア,Apicot
Lansat,Lansat,Baccalangsa,Lansat,Zonlan,랑사,サン,Lansat
Starf,Frista,Baccambola,Krambo,Arabol,스타,スター,Starf
Enigma,Enigma,Baccaenigma,Enigma,Enigma,의문,ナゾ,Enigma
Micle,Micle,Baccaracolo,Wunfru,Lagro,미클,ミクル,Micle
Custap,Chérim,Baccacrela,Eipfel,Chiri,애슈,イバン,Custap
Jaboca,Jaboca,Baccajaba,Jaboca,Jaboca,자보,ジャポ,Jaboca
Rowap,Pommo,Baccaroam,Rosel,Magua,애터,レンブ,Rowap
Roseli,Selro,Baccarcadè,Hibis,Hibis,로셀,ロゼル,Roseli
Kee,Éka,Baccalighia,Aki,Biglia,악키,アッキ,Kee
Maranga,Rangma,Baccapane,Tara,Maranga,타라프,タラプ,Maranga
[~ 67],[~ 67],[~ 67],[~ 67],[~ 67],[~ 67],[~ 67],[~ 67]
[~ 68],[~ 68],[~ 68],[~ 68],[~ 68],[~ 68],[~ 68],[~ 68]
[~ 69],[~ 69],[~ 69],[~ 69],[~ 69],[~ 69],[~ 69],[~ 69]
[~ 70],[~ 70],[~ 70],[~ 70],[~ 70],[~ 70],[~ 70],[~ 70]
[~ 71],[~ 71],[~ 71],[~ 71],[~ 71],[~ 71],[~ 71],[~ 71]
[~ 72],[~ 72],[~ 72],[~ 72],[~ 72],[~ 72],[~ 72],[~ 72]
[~ 73],[~ 73],[~ 73],[~ 73],[~ 73],[~ 73],[~ 73],[~ 73]
[~ 74],[~ 74],[~ 74],[~ 74],[~ 74],[~ 74],[~ 74],[~ 74]
[~ 75],[~ 75],[~ 75],[~ 75],[~ 75],[~ 75],[~ 75],[~ 75]
[~ 76],[~ 76],[~ 76],[~ 76],[~ 76],[~ 76],[~ 76],[~ 76]
[~ 77],[~ 77],[~ 77],[~ 77],[~ 77],[~ 77],[~ 77],[~ 77]
[~ 78],[~ 78],[~ 78],[~ 78],[~ 78],[~ 78],[~ 78],[~ 78]
[~ 79],[~ 79],[~ 79],[~ 79],[~ 79],[~ 79],[~ 79],[~ 79]
[~ 80],[~ 80],[~ 80],[~ 80],[~ 80],[~ 80],[~ 80],[~ 80]
[~ 81],[~ 81],[~ 81],[~ 81],[~ 81],[~ 81],[~ 81],[~ 81]
[~ 82],[~ 82],[~ 82],[~ 82],[~ 82],[~ 82],[~ 82],[~ 82]
[~ 83],[~ 83],[~ 83],[~ 83],[~ 83],[~ 83],[~ 83],[~ 83]
