en,fr,it,de,es,ko,kana,pt
Lac enchanté (Matin),Lac des Esprits (Matin),Lac enchanté (Matin),Lac enchanté (Matin),Lac enchanté (Matin),Lac enchanté (Matin),Lac enchanté (Matin),Lac enchanté (Matin)
Lac des Esprits (Jour),Lac des Esprits (Jour),Lac des Esprits (Jour),Lac des Esprits (Jour),Lac des Esprits (Jour),Lac des Esprits (Jour),Lac des Esprits (Jour),Lac des Esprits (Jour)
Lac des Esprits (Soir),Lac des Esprits (Soir),Lac des Esprits (Soir),Lac des Esprits (Soir),Lac des Esprits (Soir),Lac des Esprits (Soir),Lac des Esprits (Soir),Lac des Esprits (Soir)
Lac des Esprits (Nuit),Lac des Esprits (Nuit),Lac des Esprits (Nuit),Lac des Esprits (Nuit),Lac des Esprits (Nuit),Lac des Esprits (Nuit),Lac des Esprits (Nuit),Lac des Esprits (Nuit)
Coup s'Boule,Coup d'Boule,Coup s'Boule,Coup s'Boule,Coup s'Boule,Coup s'Boule,Coup s'Boule,Coup s'Boule
Coup d'Boule (Jour),Forêt Hantée (Double),Coup d'Boule (Jour),Coup d'Boule (Jour),Coup d'Boule (Jour),Coup d'Boule (Jour),Coup d'Boule (Jour),Coup d'Boule (Jour)
Coup d'Boule (Soir),Forêt Enchantée (Double),Coup d'Boule (Soir),Coup d'Boule (Soir),Coup d'Boule (Soir),Coup d'Boule (Soir),Coup d'Boule (Soir),Coup d'Boule (Soir)
Coup d'Boule,Forêt Enchantée (Triple),Coup d'Boule,Coup d'Boule,Coup d'Boule,Coup d'Boule,Coup d'Boule,Coup d'Boule
Grotte Cristalline,Grotte Cristalline (RDC1),Grotte Cristalline,Grotte Cristalline,Grotte Cristalline,Grotte Cristalline,Grotte Cristalline,Grotte Cristalline
Forêt Enchantée,Forêt Enchantée (Solo),Forêt Enchantée,Forêt Enchantée,Forêt Enchantée,Forêt Enchantée,Forêt Enchantée,Forêt Enchantée
Route 2,Route 2 (Matin),Route 2,Route 2,Route 2,Route 2,Route 2,Route 2
Canne,Canne (Lac),Canne,Canne,Canne,Canne,Canne,Canne
Forêt Enchantée (Sombre),Forêt Hantée (Solo) ,Forêt Enchantée (Sombre),Forêt Enchantée (Sombre),Forêt Enchantée (Sombre),Forêt Enchantée (Sombre),Forêt Enchantée (Sombre),Forêt Enchantée (Sombre)
Super Canne,Super Canne (Lac),Super Canne,Super Canne,Super Canne,Super Canne,Super Canne,Super Canne
Mega Canne,Mega Canne,Mega Canne,Mega Canne,Mega Canne,Mega Canne,Mega Canne,Mega Canne
Route 3,Route 3,Route 3,Route 3,Route 3,Route 3,Route 3,Route 3
grotte 2,Grotte Cristalline (SSL1),grotte 2,grotte 2,grotte 2,grotte 2,grotte 2,grotte 2
Canne (Mer),Canne (Mer),Canne (Mer),Canne (Mer),Canne (Mer),Canne (Mer),Canne (Mer),Canne (Mer)
Super Canne (Mer),Super Canne (Mer),Super Canne (Mer),Super Canne (Mer),Super Canne (Mer),Super Canne (Mer),Super Canne (Mer),Super Canne (Mer)
Forêt Enchatée (Claire - Jour),Forêt Hantée (Triple),Forêt Enchatée (Claire - Jour),Forêt Enchatée (Claire - Jour),Forêt Enchatée (Claire - Jour),Forêt Enchatée (Claire - Jour),Forêt Enchatée (Claire - Jour),Forêt Enchatée (Claire - Jour)
Mine,Mine Cristalline,Mine,Mine,Mine,Mine,Mine,Mine
Eclate-Roc,Eclate-Roc,Eclate-Roc,Eclate-Roc,Eclate-Roc,Eclate-Roc,Eclate-Roc,Eclate-Roc
yy,Forêt Enchantée (Claire - Soir),yy,yy,yy,yy,yy,yy
Forêt Enchantée (Claire - Nuit),Forêt Enchantée (Claire - Nuit - Solo),Forêt Enchantée (Claire - Nuit),Forêt Enchantée (Claire - Nuit),Forêt Enchantée (Claire - Nuit),Forêt Enchantée (Claire - Nuit),Forêt Enchantée (Claire - Nuit),Forêt Enchantée (Claire - Nuit)
Forêt Enchantée (Sombre - Jour),Forêt Enchantée (Sombre - Jour),Forêt Enchantée (Sombre - Jour),Forêt Enchantée (Sombre - Jour),Forêt Enchantée (Sombre - Jour),Forêt Enchantée (Sombre - Jour),Forêt Enchantée (Sombre - Jour),Forêt Enchantée (Sombre - Jour)
Forêt Enchantée (Sombre - Soir),Forêt Enchantée (Sombre - Soir),Forêt Enchantée (Sombre - Soir),Forêt Enchantée (Sombre - Soir),Forêt Enchantée (Sombre - Soir),Forêt Enchantée (Sombre - Soir),Forêt Enchantée (Sombre - Soir),Forêt Enchantée (Sombre - Soir)
Forêt Enchantée (Sombre - Nuit),Forêt Enchantée (Sombre - Nuit),Forêt Enchantée (Sombre - Nuit),Forêt Enchantée (Sombre - Nuit),Forêt Enchantée (Sombre - Nuit),Forêt Enchantée (Sombre - Nuit),Forêt Enchantée (Sombre - Nuit),Forêt Enchantée (Sombre - Nuit)
Ruine,Ruine,Ruine,Ruine,Ruine,Ruine,Ruine,Ruine
Grotte Cristalline (RDC1) (Nuit),Grotte Cristalline (RDC1) (Nuit),Grotte Cristalline (RDC1) (Nuit),Grotte Cristalline (RDC1) (Nuit),Grotte Cristalline (RDC1) (Nuit),Grotte Cristalline (RDC1) (Nuit),Grotte Cristalline (RDC1) (Nuit),Grotte Cristalline (RDC1) (Nuit)
Grotte Cristalline (RDC1) (Jour),Grotte Cristalline (RDC1) (Jour),Grotte Cristalline (RDC1) (Jour),Grotte Cristalline (RDC1) (Jour),Grotte Cristalline (RDC1) (Jour),Grotte Cristalline (RDC1) (Jour),Grotte Cristalline (RDC1) (Jour),Grotte Cristalline (RDC1) (Jour)
Grotte Cristalline (RDC1) (Soir),Grotte Cristalline (RDC1) (Soir),Grotte Cristalline (RDC1) (Soir),Grotte Cristalline (RDC1) (Soir),Grotte Cristalline (RDC1) (Soir),Grotte Cristalline (RDC1) (Soir),Grotte Cristalline (RDC1) (Soir),Grotte Cristalline (RDC1) (Soir)
